# Configuration des signatures de fichiers
# Format: extension|mime_type|description|header_hex|footer_hex|header_offset|max_size

# Images
jpg|image/jpeg|JPEG Image|FF D8 FF|FF D9|0|0
png|image/png|PNG Image|89 50 4E 47 0D 0A 1A 0A|49 45 4E 44 AE 42 60 82|0|0
gif|image/gif|GIF Image|47 49 46 38||0|0
bmp|image/bmp|Bitmap Image|42 4D||0|0
tiff|image/tiff|TIFF Image|49 49 2A 00||0|0
webp|image/webp|WebP Image|52 49 46 46 ?? ?? ?? ?? 57 45 42 50||0|0
ico|image/x-icon|Icon|00 00 01 00||0|0
psd|image/vnd.adobe.photoshop|Photoshop|38 42 50 53||0|0
heic|image/heic|HEIC Image|66 74 79 70 68 65 69 63||4|0

# Vidéos
mp4|video/mp4|MP4 Video|66 74 79 70||4|0
avi|video/x-msvideo|AVI Video|52 49 46 46||0|0
mkv|video/x-matroska|MKV Video|1A 45 DF A3||0|0
mov|video/quicktime|MOV Video|66 74 79 70 71 74||4|0
wmv|video/x-ms-wmv|WMV Video|30 26 B2 75 8E 66 CF 11||0|0
flv|video/x-flv|Flash Video|46 4C 56 01||0|0
mpeg|video/mpeg|MPEG Video|00 00 01 BA||0|0

# Audio
mp3|audio/mpeg|MP3 Audio|FF FB||0|0
wav|audio/wav|WAV Audio|52 49 46 46||0|0
flac|audio/flac|FLAC Audio|66 4C 61 43||0|0
ogg|audio/ogg|OGG Audio|4F 67 67 53||0|0
m4a|audio/mp4|M4A Audio|66 74 79 70 4D 34 41||4|0
aac|audio/aac|AAC Audio|FF F1||0|0

# Documents
pdf|application/pdf|PDF Document|25 50 44 46|25 25 45 4F 46|0|0
doc|application/msword|Word Document|D0 CF 11 E0 A1 B1 1A E1||0|0
docx|application/vnd.openxmlformats-officedocument.wordprocessingml.document|Word Document XML|50 4B 03 04||0|0
xls|application/vnd.ms-excel|Excel Spreadsheet|D0 CF 11 E0 A1 B1 1A E1||0|0
xlsx|application/vnd.openxmlformats-officedocument.spreadsheetml.sheet|Excel Spreadsheet XML|50 4B 03 04||0|0
pptx|application/vnd.openxmlformats-officedocument.presentationml.presentation|PowerPoint XML|50 4B 03 04||0|0
rtf|application/rtf|Rich Text Format|7B 5C 72 74 66 31||0|0

# Archives
zip|application/zip|ZIP Archive|50 4B 03 04||0|0
rar|application/x-rar-compressed|RAR Archive|52 61 72 21 1A 07||0|0
7z|application/x-7z-compressed|7-Zip Archive|37 7A BC AF 27 1C||0|0
tar|application/x-tar|TAR Archive|75 73 74 61 72||257|0
gz|application/gzip|GZIP Archive|1F 8B 08||0|0
bz2|application/x-bzip2|BZIP2 Archive|42 5A 68||0|0

# Exécutables
exe|application/x-msdownload|Windows Executable|4D 5A||0|0
dll|application/x-msdownload|Windows DLL|4D 5A||0|0
elf|application/x-elf|ELF Executable|7F 45 4C 46||0|0
dmg|application/x-apple-diskimage|Mac Disk Image|78 01 73 0D 62 62 60||0|0

# Bases de données
sqlite|application/x-sqlite3|SQLite Database|53 51 4C 69 74 65 20 66 6F 72 6D 61 74 20 33 00||0|0
mdb|application/x-msaccess|Access Database|00 01 00 00 53 74 61 6E 64 61 72 64 20 4A 65 74||0|0

# Email
pst|application/vnd.ms-outlook|Outlook PST|21 42 44 4E||0|0
ost|application/vnd.ms-outlook|Outlook OST|21 42 44 4E||0|0

# Jeux Vidéo / Game Saves
sav|application/x-unreal-savegame|Unreal Engine Save (GVAS)|47 56 41 53||0|0
